Title,URL,Advertiser,Location,Listing Date,Short Description
Automation Test Analyst,https://www.seek.com.au/jobs/job/36517368?type=standard,Exclaim IT,Brisbane,3d ago,Fantastic opportunity for an engaged and enthusiastic Automation Tester to help drive high-quality releases on an Agile platform. 
Data Engineer,https://www.seek.com.au/jobs/job/36517053?type=standard,HCM Australia,Sydney,4d ago,"Are you the designer, builder and manager of the information or ""big data"" infrastructure, preparing data for analytical or operational use? lets talk"
Data Engineer,https://www.seek.com.au/jobs/job/36517054?type=standard,HCM Australia,Melbourne,4d ago,"Are you the designer, builder and manager of the information or ""big data"" infrastructure, preparing data for analytical or operational use? lets talk"
Lead Cloud Engineer - COG 420289,https://www.seek.com.au/jobs/job/36516871?type=standout,Macquarie Group Limited,Sydney,4d ago,As an expert in cloud technologies you will join a highly agile “two pizza” development team working on a global cloud project.
Junior Developer - NetEngine - Brisbane,https://www.seek.com.au/jobs/job/36513208?type=standard,Employment Office,Brisbane,4d ago,Are you a Developer looking to establish your career with an agile and creative software engineering company? This is your opportunity!
DevOps Platform Engineer,https://www.seek.com.au/jobs/job/36513052?type=standard,Westpac Group,Sydney,4d ago,Fly around Windows and Linux systems because it's in your DNA.
Senior Developer,https://www.seek.com.au/jobs/job/36512764?type=standout,realestate.com.au,Melbourne,4d ago,We're reimagining short-term commercial spaces in REA and we'd love you to come help us.
Full-Stack Engineer/ DevOps,https://www.seek.com.au/jobs/job/36512251?type=standout,BGL Corporate Solutions Pty Ltd,Melbourne,4d ago,Seeking a Java/Full-Stack Engineer working towards moving into Operations within an AWS Cloud environment.
Senior DevOps - Data Science,https://www.seek.com.au/jobs/job/36509377?type=standard,Ashdown People,Sydney,4d ago,Are you interested in Predictive Analytics for Sport? Using the latest techniques this firm researches &amp; models gameplay to derive insights.
Full Stack Software Developer,https://www.seek.com.au/jobs/job/36506378?type=standout,Shine Products,Melbourne,5d ago,"Based in the Melbourne CBD, we need more talented and exciting Full Stack Developers (with at least 4 years  commercial experience). If an amazing tec"
Senior Software Engineer - Medical Devices,https://www.seek.com.au/jobs/job/36506024?type=standard,Signostics Limited,Adelaide,5d ago,"We are looking for a top software engineer to join our team, to help us develop our revolutionary diagnostic ultrasound products."
Senior AWS DevOps Engineer,https://www.seek.com.au/jobs/job/36505480?type=standout,Versent Pty Ltd,Sydney,5d ago,"We believe in bringing craftsmanship back to technology, because as technology artisans, we passionately care about quality outcomes."
"Fullstack Javascript Developer, Angular/Node | Open to remote work",https://www.seek.com.au/jobs/job/36505395?type=standout,Lookahead Search,Sydney,5d ago,Sydney Startup is looking for an experienced JavaScript developer to join their small and talented team.
Senior Developer - NetEngine,https://www.seek.com.au/jobs/job/36421899?type=standard,Employment Office,Perth,16d ago,"Opportunity for experienced Developer (Ruby on Rails, JS, React Native, or Node) to join an agile company. Great diversity in projects &amp; clients!"
Senior Cloud Engineer,https://www.seek.com.au/jobs/job/36502490?type=standard,Ashdown People,Sydney,5d ago,"Amazing opportunity to join this predictive sports analysis company, taking a critical role in building their new cloud base modelling environment."
"Lead Plugin Engineer (PHP,Magento, Javascript)- Upto $160k+super",https://www.seek.com.au/jobs/job/36502255?type=standard,Talentpool Recruitment,Sydney,5d ago,"Lead Plugin Engineer (PHP,Magento, Javascript)- Upto $160k+super"
