Title,URL,Advertiser,Location,Listing Date,Short Description
Software Developer,https://www.seek.com.au/jobs/job/36530016?type=standout,u&u. Recruitment Partners,Brisbane,3d ago,Do you have a spare day or two a week? Are you a passionate web developer who can solve complex problems? Then apply within!
Front End Developer,https://www.seek.com.au/jobs/job/36530001?type=standout,Monitor Consulting,Melbourne,3d ago,Monitor are looking for an experienced Front End Developer for a long term engagement. Experience with Angular working in an Agile environment. 
Junior .NET C# Developer - Melb South East - Permanent,https://www.seek.com.au/jobs/job/36529899?type=standard,Sirius Technology Melbourne part of Sirius People Pty Ltd,Melbourne,3d ago,My client is a medium sized growing organisation based in the South Eastern suburbs of Melbourne looking for a permanent Junior .NET Developer to join
API Automation Engineer,https://www.seek.com.au/jobs/job/36529849?type=standard,Opus Recruitment Solutions,Sydney,3d ago,"API Automation Engineer | WebServices | Backend | Long term | High end team | CICD, Performance, AWS"
Graduate DevOps Engineer,https://www.seek.com.au/jobs/job/36529834?type=standard,Revolution IT,Sydney,3d ago,Join one of Revolution IT's newest Graduate programs to kick-start your highly successful career as a Graduate DevOps Engineer
Delivery Lead - Splunk or Ansible,https://www.seek.com.au/jobs/job/36529714?type=standout,Naviro,Sydney,3d ago,Are you a competent consultant solving business outcomes with next gen Tech but unfulfilled in your current role?
Software Engineer (Graduate to Mid-Level),https://www.seek.com.au/jobs/job/36529652?type=standout,Memjet North Ryde Pty Ltd,Sydney,3d ago,An exciting opportunity to join our Software Department based at North Ryde with onsite parking.
Senior Front End Developer (Angular JS),https://www.seek.com.au/jobs/job/36529636?type=standout,Motion Recruitment,Sydney,3d ago,"Lead position with Agile product team - Take ownership of Front end Developement - circa $135,000 + super"
Drupal Developer,https://www.seek.com.au/jobs/job/36529632?type=standard,Davidson Technology,Brisbane,3d ago,"This is a exciting permanent position with a global organisation based in the heart of Brisbane.

Great working with great benefits.
"
Senior PHP Developer - Media,https://www.seek.com.au/jobs/job/36529441?type=standout,2XM Technology Pty Ltd,Sydney,3d ago,One of my clients who are an industry leading media organisation are looking to add a Senior PHP Developer to their team
React Developer x 2,https://www.seek.com.au/jobs/job/36331709?type=standard,Helloworld Travel Limited,Sydney,3d ago,The primary purpose of this role is for the individual to develop the look and feel functionality enhancements to the B2C and B2B platforms.
Drupal Developer,https://www.seek.com.au/jobs/job/36529374?type=standout,Hudson,Brisbane,3d ago,Are you looking to be part of an awesome team? Are you looking to work with latest tech?
Senior PHP Developer,https://www.seek.com.au/jobs/job/36529226?type=standout,2XM Technology Pty Ltd,Sydney,3d ago,"My client based in Surry Hills are looking to add 2 Senior PHP Developers to their team, they have recently taken on numerous high profile clients"
Front End Developer / PHP Developer,https://www.seek.com.au/jobs/job/36529027?type=standard,nabooki,Sunshine Coast,3d ago,Front end developer
.Net Developer,https://www.seek.com.au/jobs/job/36528854?type=standout,Hudson,Brisbane,3d ago,Are you looking to be part of an awesome team? Are you looking to work with latest tech stack?
Senior .NET Developer,https://www.seek.com.au/jobs/job/36528852?type=standout,SALT SEARCH PTY LTD,Sydney,3d ago,Great opportunity for a Senior .NET Developer to join a leading Sports &amp; Entertainment client based in Sydney on an initial 6-12 month contract.
Senior JavaScript Developer- Node/ React/ AWS,https://www.seek.com.au/jobs/job/36528474?type=standard,Davidson Technology,Melbourne,3d ago,"Do you have a desire to work in a small team, but build something something huge.
Are you motivated to deliver high quality customer outcomes?"
Senior Website Engineer,https://www.seek.com.au/jobs/job/36528458?type=standout,LEAP Dev,Sydney,3d ago,"Are you a talented Website Engineer with strong inter-personal skills looking to join a market leading, global organisation? If so apply now!"
Super Senior .Net Developer,https://www.seek.com.au/jobs/job/36528030?type=standout,PRA,Melbourne,3d ago,"Interesting role to join at a Senior level and help direct technology, make suggestions on how to do things bigger and better ..."
".net Developer -Mid Level & Senior, C#.Net ASP.net MVC WPF",https://www.seek.com.au/jobs/job/36527223?type=standard,ecareer employment services,Sydney,3d ago,Unique opportunity for several .net developers to join the expanding development team of this global Saas powerhouse.
Web Developer Full Stack,https://www.seek.com.au/jobs/job/36527149?type=standout,Advanced Personnel Management,South West Coast VIC,3d ago,Come and work for a growing international human services organisation and be based in Geelong!
Web Development Engineer,https://www.seek.com.au/jobs/job/36526716?type=standard,Two Bulls,Melbourne,3d ago,"As a senior engineer, you can turn a poorly defined problem into a plan. You have experience delivering value in an Agile methodology."
Senior Drupal Developer (Back-end),https://www.seek.com.au/jobs/job/36526514?type=standard,Naviro,Sydney,3d ago,"Senior Drupal Dev to focus on the back-end - Sydney CBD - 6 Mths+ - Drupal 8 / Symfony - High-Traffic, High Profile Org and sites!"
Intermediate .Net Developer,https://www.seek.com.au/jobs/job/36525882?type=standard,Brightfox,Brisbane,3d ago,"Opportunity to work with c# and javascript, full stack development across CRM, App's. Kiosk software, Web API's and more. Small team, 20+ yrs history."
Software Developer (ELK Stack),https://www.seek.com.au/jobs/job/36525708?type=standout,Systems and People,Melbourne,3d ago,"Great opportunity to showcase both your technical and leadership capabilities, to showcase your ELK stack expertise..."
Java developer - Middleware,https://www.seek.com.au/jobs/job/36525752?type=standout,2e Systems Pty Ltd,Melbourne,3d ago,Seeking a graduate or mid-level Java developer to join our global product development team
PHP Developer,https://www.seek.com.au/jobs/job/36525689?type=standard,Orange Digital,Brisbane,3d ago,Work with an amazing team with unreal perks!
Application Support Developer,https://www.seek.com.au/jobs/job/36525586?type=standout,Advanced Personnel Management,South West Coast VIC,3d ago,Bring your passion and drive for IT to this development role to support the needs of employees across Australia.
Ruby On Rails Developer,https://www.seek.com.au/jobs/job/36525276?type=standard,Innovate IT Consultancy Pty Ltd,Melbourne,3d ago,"Development using Ruby on Rails. Good in JavaScript/scripting language ? Web development using HTML5, CSS, Angular, Firebug, and Chrome Dev Tool."
Fullstack web developer,https://www.seek.com.au/jobs/job/36525267?type=standout,PleaseSign,Brisbane,3d ago,Fullstack web developer with a passion for beautiful user experience and service architecture.
PHP Developers - Multiple Roles - Mid to Senior,https://www.seek.com.au/jobs/job/36524526?type=standard,Digital Native,Brisbane,3d ago,PHP + JavaScript | Full Stack | Product Development | API Work | Flexible Working Environment | Brisbane North Side location w\ free parking &amp; perks
Application Support Developer,https://www.seek.com.au/jobs/job/36524656?type=standout,Advanced Personnel Management,South West Coast VIC,3d ago,A fantastic opportunity exists to join one of the largest providers of employment services in Australia.
C#/.NET Software Developer,https://www.seek.com.au/jobs/job/36524404?type=standout,ESE Recruitment,Melbourne,3d ago,Wonderful opportunity for C#/.NET specialist to join a high calibre team.
Senior Developer,https://www.seek.com.au/jobs/job/36524024?type=standout,Coates Group,Sydney,3d ago,"responsible for developing dynamic reusable templates, architecture of user-friendly data models and innovating new concepts"
Fullstack UI Developer (COG - 500977),https://www.seek.com.au/jobs/job/36523944?type=standout,Macquarie Group Limited,Sydney,3d ago,"Convert technically feasible UI/UX designs into elegant, scalable and well tested/documented code."
Senior Mobile Application Developer,https://www.seek.com.au/jobs/job/36523196?type=standout,Green Light PS Pty Ltd,ACT,3d ago,Multiple Opportunities | 12 Month + Extensions Contract | Baseline Clearance Minimum | Canberra Based Role
Full Stack PHP Developer,https://www.seek.com.au/jobs/job/36522763?type=standard,Opus Recruitment Solutions,Melbourne,3d ago,EXCITING FULL STACK PHP DEVELOPMENT ROLE | 6 MONTH CONTRACT | DOMINANT AWARD WINNING PRODUCT COMPANY | 
Drupal Senior Back End Developer,https://www.seek.com.au/jobs/job/36522477?type=standard,Greythorn,Sydney,3d ago,Work for an innovative government agency
Senior Front End Developer - Javascript - React,https://www.seek.com.au/jobs/job/36521763?type=standard,CITI Recruitment,Sydney,3d ago,"You will be responsible for designing and leading key front end builds for cutting edge web applications.
Javascript - React - NodeJS - AWS"
Senior Frontend UI Developer,https://www.seek.com.au/jobs/job/36520639?type=standard,Coles,Melbourne,3d ago,Coles Liquor Direct is on the lookout for a Senior Frontend Developer with strong user interface (UI) development experience.
Web Developer (JavaScript) x2 - Digital Agency - Brisbane,https://www.seek.com.au/jobs/job/36520441?type=standout,Hawksworth Consulting,Sydney,3d ago,Permanent opportunity - Senior Web Developer / JavaScript - Greenfield-site product development - Brisbane CBD
Senior PHP/Wordpress Developer,https://www.seek.com.au/jobs/job/36520332?type=standard,Glide Agency,Perth,3d ago,Glide Agency is Perth's leading-edge Digital Agency and we need an experienced and technical Senior PHP/WordPress Developer to help grow our web team.
Full Stack Web Developer,https://www.seek.com.au/jobs/job/36520131?type=standout,Technology 360 Group,Melbourne,3d ago,Fantastic opportunity for a Mid to Senior level Full Stack Web Developer in our Engineering &amp; Development team!
2x Mid / Senior .Net Developers | Web/Mobile Projects | Full Stack Angular/Azure,https://www.seek.com.au/jobs/job/36519816?type=standard,TheDriveGroup,Sydney,3d ago,Work across new web &amp; mobile projects for a awesome company based in Sydney! Brand new roles due to growth! Plenty of training and growth on offer!
DevOps Engineer,https://www.seek.com.au/jobs/job/36519679?type=standout,DWS Limited,Melbourne,3d ago,Join DWS as a DevOps Engineer. Exposure through consulting to a range of clients. Deliver interesting with real outcomes for clients and end users.
DevOps Engineer,https://www.seek.com.au/jobs/job/36519642?type=standout,Daon,ACT,3d ago,"Do you want to change the world of Biometrics, if so Daon is the company for you."
Automation Engineers | DevOps | Jenkins-AWS,https://www.seek.com.au/jobs/job/36519618?type=standard,Sysintegra Pty Ltd,Sydney,4d ago,We are looking for 2x CI/CD engineers to start ASAP on a long term contract role starting with initial 6 months. Melbourne and Sydney locations okay.
Ruby on Rails Developer,https://www.seek.com.au/jobs/job/36519090?type=standard,Pathfinder Recruitment,Melbourne,4d ago,"Ruby on Rails Developer needed for Tech solutions company based in Melbourne. Great career , salary and projects to work on."
Front End Development Lead,https://www.seek.com.au/jobs/job/36518873?type=standout,Peoplebank Australia VIC,Melbourne,4d ago,Our client is a very successful Australian retail brand. They have an expanding e-commerce area and are currently looking for a Front End Lead 
Senior Full Stack LAMP Developer (virtual),https://www.seek.com.au/jobs/job/36518780?type=standout,SWOOP Analytics Pty Ltd,Sydney,4d ago,We're looking for an experienced full stack LAMP developer to join our very virtual team of about 10 people.
Belong - Backend Developer,https://www.seek.com.au/jobs/job/36518709?type=standard,M&T Resources,Melbourne,4d ago,Belong - Backend Developer at $800
C#/.NET Developer,https://www.seek.com.au/jobs/job/36518636?type=standard,Adslot Limited,Sydney,4d ago,Seeking a C#/.NET developer to work within our talented and fast moving development team with a core emphasis on software quality and reliability.
Full Stack Developer - Node.js,https://www.seek.com.au/jobs/job/36518526?type=standard,Adslot Limited,Melbourne,4d ago,"Innovative global technology company • Collaborative, design driven team • ASX Listed • Node.js, Express and PostgreSQL"
Automation Test Analyst,https://www.seek.com.au/jobs/job/36517368?type=standard,Exclaim IT,Brisbane,4d ago,Fantastic opportunity for an engaged and enthusiastic Automation Tester to help drive high-quality releases on an Agile platform. 
Junior Software Developer,https://www.seek.com.au/jobs/job/36517096?type=standout,Group Four Building Surveyors,Melbourne,4d ago,"We are looking for a Junior Software Developer to provide robust, cutting edge solutions which support the needs of the business."
Principal Software Development Consultant - Lead,https://www.seek.com.au/jobs/job/36516770?type=standout,CITI Recruitment,Sydney,4d ago,Principal Software Development Consultant to lead a Software Development practice for a fast growing IT Consulting and VC firm. Java skills desired.
"Senior/Lead Android Developer, Sydney CBD, $130 - $150K base",https://www.seek.com.au/jobs/job/36516735?type=standard,Needus,Sydney,4d ago,Excellent opportunities to join one of Australia's leading companies. Cutting Edge technology with endless career opportunities.
Senior PHP Developer / Architect,https://www.seek.com.au/jobs/job/36516687?type=standard,Alternative Media,Sydney,4d ago,We are looking for an Senior PHP / Web developer to join our growing Tech team. Join our fun and challenging team!
DevOps Engineer,https://www.seek.com.au/jobs/job/36516674?type=standard,Gallagher Bassett,Brisbane,4d ago,Bring your expertise and experience to our global organisation for this DevOps Engineer role. 12 month fixed-term contract.
Database Administrator,https://www.seek.com.au/jobs/job/36516331?type=standard,Gallagher Bassett,Brisbane,4d ago,Seeking an expert to join our global organisation for a 12 month contract.
Front End Developer,https://www.seek.com.au/jobs/job/36515958?type=standout,Interactiveinc  PTY LTD,Sydney,4d ago,"Front End Interactive Developer - Global Brands, Great Team"
Senior Software Engineer - Web UI Build,https://www.seek.com.au/jobs/job/36515953?type=standout,FourQuarters Recruitment,Melbourne,4d ago,A golden opportunity for talented UI Engineer/Architect to join a rapidly growing product development team.
Senior .NET Front-End Developer - React & AngularJS - SYD CBD,https://www.seek.com.au/jobs/job/36515941?type=standout,Attribute Consulting,Sydney,4d ago,This is an excellent opportunity for a talented Senior Front-End Developer with solid experience delivering and maintaining public facing websites.
Javascript developer,https://www.seek.com.au/jobs/job/36515546?type=standard,Fleety,Sydney,4d ago,Join the fast growing tech startup
Attention WordPress developers – We are looking for a gun!,https://www.seek.com.au/jobs/job/36514972?type=standard,Yolk Agency,Melbourne,4d ago,"Funky Port Melbourne location. Are you looking to work in a funky agency with cool clients? Flexible salary $80K-$90K+ super neg, based on exp"
Java Developers,https://www.seek.com.au/jobs/job/36514707?type=standout,DWS Limited,Melbourne,4d ago,Experienced Java Developers required for new projects across several large clients in Melbourne!
Frontend / C# Full stack Midlevel Dev $109K+ super,https://www.seek.com.au/jobs/job/36514493?type=standout,Altitude Recruitment,Sydney,4d ago,Front-end / C# Full stack Developer for a Startup Digital Agency nr Town Hall $105K+ super
Senior Mobile Application Developer x 2 Positions,https://www.seek.com.au/jobs/job/36514073?type=standout,Ignite,ACT,4d ago,"Mobile application developers for Large Federal Government Department - 2 positions, 12 month contracts. "
